source,type,target,confidence,evidence
agroclimatic monitoring,uses,PlanetScope,extracted,"high-resolution multispectral images, such as those provided by PlanetScope satellites"
human-centered design,produces,participatory variety selection,extracted,applying human-centered design methods
meta-analysis,uses,triadic comparisons of technology options,extracted,meta-analysis techniques can be applied to Tricot data
farmer segmentation,uses,RHoMIS,extracted,Using tricot on-farm trials with RHoMIS survey
Nigeria,located_in,Sub-Saharan Africa,inferred,microbial bio-input quality assurance in sub-Saharan Africa
quality assurance,addresses,black soldier fly larvae,extracted,microbial bio-input quality assurance
financial management training,targets,smallholder farmers,extracted,strengthen participants' financial management skills
consumer preference mapping,uses,cassava,extracted,consumer preferences for cassava quality traits
scaling for impact,uses,participatory research,extracted,"processes combined participatory research, capacity strengthening"
innovation networks,uses,inter-institutional coordination,extracted,innovation networks supported inter-institutional coordination and knowledge exchange
Local Technical Agroclimatic Committees,produces,agroclimatic information services,extracted,LTACs and agroclimatic services strengthened the link between climate information
climate-smart agriculture,addresses,climate variability,extracted,climate-smart agriculture has emerged as a key approach to strengthen resilience
territorial mechanisms,uses,innovation networks,extracted,"territorial mechanisms that connect actors, infrastructure, and information"
CGIAR,uses,scaling for impact,extracted,CGIAR Scaling for Impact (S4I) Science Program
crop modeling,uses,DSSAT,inferred,calibration and validation of crop models
maize,targets,smallholder farmers,extracted,staple grain systems
PICSA,targets,smallholder farmers,extracted,PICSA methodology effectively supports farmer decision-making
Bulletin Builder,produces,agroclimatic information services,extracted,platform designed to automate the creation of agroclimatic bulletins
participatory diagnosis,uses,capacity strengthening,extracted,participatory diagnosis of training needs and a training cycle
gender and social inclusion,targets,smallholder farmers,extracted,"reducing desigualdades que afectan a mujeres, juventudes"
fairification,uses,CIP,extracted,CIP has undertaken a structured FAIRification process
late blight,targets,potato,extracted,plant health (late blight)
decision-support tools,uses,regenerative agriculture,extracted,Decision-Support Tools (DSTs) for regenerative agriculture
south-south collaboration,collaborates_with,WorldFish,extracted,ICAR–CGIAR WorldFish Window 3 Project for building South–South Collaboration
fragile and conflict-affected settings,addresses,food security,extracted,"food, land, and water systems in fragile and conflict-affected settings"
Guatemala,located_in,dry corridor,inferred,territories characterized by high climate variability
Honduras,located_in,dry corridor,extracted,particularmente en el corredor seco
Ucayali,located_in,Peru,extracted,"región de Ucayali, Perú"
ASORECH,located_in,Guatemala,inferred,Asociación Regional Campesina Chortí
MODIS NDVI,uses,Bangladesh,extracted,satellite observations with geolocated kiln data
usability testing,uses,Bulletin Builder,extracted,Usability testing of this tool was conducted
climate resilience,related_to,climate-smart agriculture,extracted,"strengthen resilience, stabilize productivity"
cassava,located_in,Southeast Asia,extracted,cassava production in Southeast Asia
rice,located_in,Latin America,extracted,rice production in Latin America
automatic speech recognition,targets,Bantu languages,extracted,ASR for Bantu languages to enable voice-based interaction
Longa,uses,automatic speech recognition,extracted,Longa probe explores the use of automatic speech recognition
large language models,addresses,agricultural knowledge management,inferred,LLMs help researchers access and synthesize agricultural knowledge
Vision2Biomass,uses,computer vision,extracted,computer vision and machine learning to estimate crop residue
plant phenotyping,uses,computer vision,extracted,3D reconstruction through image capture and computer vision techniques
EPADDY,uses,acoustic sensing,extracted,acoustic sensing and machine learning to detect insect pests
interactive voice response,targets,smallholder farmers,extracted,"collect data from farmers who lack smartphones, literacy, or internet"
MarketVision,uses,computer vision,extracted,smartphone videos combined with computer vision and 3D mapping
climate-smart agriculture,addresses,climate change adaptation,inferred,CSA strategies include adaptation practices and mitigation
gender-inclusive strategies,targets,smallholder farmers,inferred,strategies to support women farmers in accessing technologies
climate risk management,targets,extension agents,extracted,training for extension agents to integrate climate information
climate adaptation practices,located_in,Bangladesh,extracted,"aquaculture adaptation in Bangladesh, Kenya, and Zambia"
climate adaptation practices,located_in,Kenya,extracted,"aquaculture adaptation in Bangladesh, Kenya, and Zambia"
climate adaptation practices,located_in,Zambia,extracted,"aquaculture adaptation in Bangladesh, Kenya, and Zambia"
CGIAR AI Hub,collaborates_with,Alliance of Bioversity International and CIAT,extracted,working closely with CGIAR Centers and Science Programs
fertilizer policy,located_in,India,extracted,Government of India fertilizer policies since the 1950s
nutrient management,addresses,food security,inferred,balanced fertilization to ensure food security
extreme weather events,addresses,soybean,extracted,EWEs significantly disrupt the global soybean market
China,uses,soybean,extracted,China imports 65% of globally traded soybeans
biofuel production,uses,soybean,inferred,soybeans used for biodiesel production
Digital Transformation Accelerator,part_of,Alliance of Bioversity International and CIAT,extracted,DTA team at the Alliance of Bioversity International and CIAT
soil fertility assessment,uses,portable sensors,inferred,low-cost portable soil fertility sensors for nutrient measurements
hydrological monitoring,uses,computer vision,extracted,computer vision and generative AI to extract water-level readings
diet quality monitoring,uses,MEMO chatbot,extracted,MEMO chatbot developed to support diet quality monitoring
climate policy integration,addresses,food security,extracted,climate policy and investments to address negative impacts on food security
locally led climate adaptation,uses,participatory mapping,extracted,Net-Map approach provides insights into climate policy landscape
Environmental Care Foundation,located_in,Adamawa state,extracted,ECF's on-going climate related activities in Adamawa
